Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
0,200,0,0,0,0,0,0,0,400,0,0,0,5,0,0,0,400,0,0,0,0,0,0,0
1,181.788,4.937350851765897,16.563,4.4721394243729735,1.582,1.2770696562470298,0.067,0.25802631179315333,363.39,8.007622744736544,33.371,7.018590999596687,7.482,2.2032999184247544,0.7,0.7710996009560598,363.025,8.301523371664402,33.8,7.421528082482682,2.835,1.7947133464695681,0.124,0.3531978889358609
2,144.384,12.733761922255837,48.07,11.00064153193413,6.985,3.023560304825574,0.558,0.777972519592589,289.001,24.03682108282557,95.564,20.632003867380007,18.086,5.0467884911173035,2.164,1.403949812163909,288.529,23.886978602300182,95.9,20.63986443763631,13.03,4.461502550151127,0.985,1.0206942817596347
3,78.356,21.572590030885042,99.572,17.419076905514835,19.918,5.8425517893649355,2.137,1.5383749860153075,157.459,42.63479852239301,198.437,34.25971043016503,42.862,10.000648427425542,5.787,2.4935614788588727,156.912,42.59498313872877,198.553,34.01764823428262,34.461,8.973572532943834,3.918,2.084135221049637
4,17.826,12.607008394566122,135.661,8.922089591720242,40.542,8.085147222259197,5.927,2.6651029574434406,35.728,24.45841839183863,271.989,14.998994927955968,82.534,13.653324036924387,13.653,4.108950532006253,35.829,24.347454847633614,271.159,14.888027820110102,66.912,11.892589696516469,10.148,3.5711131106209515
5,1.209,2.1918309978470334,125.608,8.760084193378228,60.847,8.264495924912353,12.25,3.8196976438050814,2.293,3.5768624442302706,252.044,13.86760160858302,122.336,12.806447950509504,26.257,6.017072058414803,2.346,3.7998319334837327,251.215,14.215373785161326,93.985,10.30917329634409,20.307,5.198439648084296
6,0.075,0.31220581748659404,103.946,8.898216802385873,75.374,7.6157812550075334,20.454,4.869044217461122,0.118,0.34669323067547225,208.244,14.47777849222974,150.159,11.386367654716247,43.038,7.453328659606264,0.108,0.34417212910759415,207.537,14.429582247724424,107.151,9.288405324568554,32.72,6.455328904964586
7,0.044,0.21001930413204425,85.204,8.286920842934187,84.316,7.409659037165411,30.217,5.725092810399469,0.097,0.3060795398008248,171.193,12.889992354648736,166.343,10.225160385290048,62.329,8.671329249368343,0.095,0.3099533369252073,170.162,13.008958028565893,109.584,8.763089394485014,45.953,7.136085391495446
8,0.053,0.2329060867501003,70.173,7.75817377095024,88.873,7.21116300411188,40.601,6.233028930596235,0.125,0.34277177901993694,140.614,11.691522385715887,174.35,9.989759521394662,83.14,9.411427892460049,0.118,0.3552494928950669,140.101,11.700328914038986,105.084,8.280429307077593,58.915,7.722396675282254
9,0.088,0.29384067509850015,57.915,7.200668345690185,90.304,7.197039765166049,51.294,6.604027345277817,0.172,0.4178403888934034,115.969,10.495627527556282,176.134,10.009507192376368,104.155,9.995743588642613,0.115,0.33148889104295015,115.132,10.58009992932555,97.559,8.528027101636477,71.145,8.218973568915192
10,0.108,0.3293090409394258,48.055,6.66290997758257,89.234,7.160482980673616,62.099,7.090096506287376,0.223,0.4811470695146158,96.013,9.789006877904196,173.175,9.960099325738604,125.305,10.261153262000635,0.136,0.3763584005248795,94.927,9.308938034347813,88.15,8.322184734717126,82.046,8.410744593947948
11,0.123,0.3376166242722431,39.871,5.963381668224911,86.961,7.133608299266744,72.459,7.183169002391418,0.274,0.5207640494458072,79.601,8.97509617504745,167.656,9.741178293951638,145.452,10.398838003922931,0.175,0.412971603800486,78.564,8.526934537840232,78.274,8.263971031968664,91.531,8.677115380777838
12,0.169,0.42263177544715874,33.391,5.537036913167347,83.472,7.053436535970744,82.299,7.199404866406002,0.333,0.5903045480592704,66.528,8.124729363322032,160.082,9.502082170007034,164.387,10.52539856798853,0.192,0.4464698593806029,65.135,7.786102901862934,68.855,7.492002743265989,99.777,8.787746895279557
13,0.188,0.42993120477681174,28.118,5.067717213673012,79.307,6.9367766195741,91.639,7.158625910391248,0.353,0.5854346536836829,56.05,7.614557208497516,151.354,9.597436886731519,182.018,10.76594545692953,0.219,0.466107558677454,54.255,7.2414372477715645,59.935,7.14113231713086,106.7,8.826999258860052
14,0.237,0.4786021939565886,23.95,4.713355038156548,74.697,6.678907006299668,100.302,7.103467833055574,0.421,0.6404445090475592,47.557,6.9101737678224495,142.004,9.430637354968164,198.342,10.620632459219829,0.256,0.49669981951950687,45.453,6.622813046784021,51.829,6.834066392965719,112.538,8.954593276120404
15,0.287,0.5393717845066813,20.545,4.333214944097714,69.82,6.826580564396951,108.465,7.3089120390927675,0.528,0.758809456841302,40.713,6.351139107905602,132.182,9.247290867512948,213.524,10.281105248227213,0.321,0.5588123757320262,38.163,6.070030994671796,44.507,6.401635098311363,117.422,9.097069455196694
16,0.327,0.5695571923831666,17.815,4.125505398711144,65.292,6.67422514463524,115.617,7.188601184304703,0.651,0.7796196552209332,35.231,5.74810226767754,122.659,9.277434440069614,227.207,10.35061767655855,0.318,0.5685061118397929,32.371,5.53769130821004,37.939,5.826768420851324,121.404,9.1298487467284
17,0.416,0.6398072782903875,15.579,3.8660969602049176,60.576,6.572017606140097,122.397,7.114070635086568,0.693,0.8505730271261102,30.891,5.34112784406502,113.512,8.818368308231383,239.512,10.116333139838574,0.372,0.606616834570212,27.673,5.117250947262335,32.419,5.4888584028526886,124.568,9.211526921647042
18,0.388,0.5931338869157686,13.804,3.5995194874511434,56.223,6.353868321160161,128.506,6.860979305976446,0.796,0.8973233470656992,27.423,5.025866127378477,104.658,8.81854879233555,250.597,10.072936764174342,0.396,0.6477681711875041,23.624,4.720689452708037,27.872,5.069449212223683,127.172,9.20266836874529
19,0.459,0.662387920902667,12.363,3.3254006208710085,51.995,6.370365496308399,134.052,6.877688463328257,0.945,1.0024868976600043,24.638,4.7342760132220185,96.353,8.715868135610895,260.502,9.997096475374134,0.444,0.674773531875191,20.41,4.48798864103309,23.742,4.55259949503162,129.224,9.15235431949559
20,0.531,0.7386369775367224,11.342,3.1357405614732974,47.909,6.2446548915624405,139.036,6.719959959840673,1.067,1.0514830557914934,22.628,4.64706479524562,88.608,8.637762843870336,269.22,9.950407560025399,0.508,0.7074153210359785,17.934,4.2986186295276445,20.379,4.195111197329334,130.645,9.326626451239536
