Time,S_a0_mean,S_a0_sd,E_a0_mean,E_a0_sd,I_a0_mean,I_a0_sd,R_a0_mean,R_a0_sd,S_a1_mean,S_a1_sd,E_a1_mean,E_a1_sd,I_a1_mean,I_a1_sd,R_a1_mean,R_a1_sd,S_a2_mean,S_a2_sd,E_a2_mean,E_a2_sd,I_a2_mean,I_a2_sd,R_a2_mean,R_a2_sd
0,200,0,0,0,0,0,0,0,400,0,0,0,5,0,0,0,400,0,0,0,0,0,0,0
1,196.486,1.723012702440923,3.168,1.654845767591202,0.33,0.5526349657824823,0.014,0.11754921445002436,393.011,2.5336334182944262,6.319,2.3602563017201774,5.033,1.1318976067614033,0.585,0.7037544104801549,392.884,2.5189062882308444,6.475,2.3436868109600026,0.575,0.7752264030436373,0.029,0.1678904023081343
2,192.395,2.7104098068966103,6.257,2.4034824167710753,1.241,1.1385144773849893,0.104,0.3182534921808169,384.742,4.712286243602105,12.706,3.988417163671758,6.199,1.961439840078264,1.239,0.9863325260031993,384.575,4.509180380923756,12.855,3.816089298946965,2.093,1.5095130438752855,0.192,0.4374097933601022
3,186.264,4.329092866299479,10.715,3.630834333587524,2.667,1.6615871544616225,0.347,0.5611647760737535,372.675,7.949627134122177,21.421,6.363509507595102,8.645,2.8978220049499885,2.067,1.2900291373357329,372.27,8.269672755767758,21.866,6.664717733142377,4.364,2.4358648233096676,0.581,0.7668292032956406
4,176.718,7.2086365174310485,17.533,5.841663807173093,4.934,2.433426712593902,0.806,0.9061926865657134,353.342,13.697542066321923,35.212,10.634761593667916,12.755,4.263232359390014,3.401,1.6250661032216012,352.887,13.84528522360312,35.589,10.778416082767135,8.046,3.456563587124043,1.333,1.227035703073312
5,161.527,11.393290923963896,28.336,8.786712144500372,8.546,3.562383271712152,1.578,1.2773204560906193,322.796,22.04173818513917,56.661,16.309877102268153,19.759,6.618211217520919,5.346,2.0519489502652095,322.598,22.146848057429725,56.818,16.624838683766566,13.678,5.134849820849942,2.619,1.795846336428611
6,139.032,16.37263079163025,43.61,11.929636047097842,14.472,5.19944711005413,2.862,1.8494259586088804,277.527,32.357569180692224,87.73,22.703183356845237,30.712,9.89024129497723,8.356,2.883327518263851,277.399,31.863004410288273,87.585,22.661427918719404,22.392,7.440140569350265,4.747,2.53957485426999
7,109.125,20.944738171126826,63.011,14.346801375557888,22.746,7.16385404686645,5.078,2.5769277359981513,217.772,40.75213801449873,126.209,26.307249768654845,47.038,13.71753355114274,12.969,4.129296561169964,217.584,40.73669626298164,126.017,26.90874935391446,34.787,10.19075475529082,8.245,3.4555630389150647
8,75.267,22.4226779731478,82.464,13.763289291885576,33.648,8.854857678387864,8.548,3.527341511413112,150.875,43.51368538535682,163.741,24.9074748078022,68.783,16.975396168427853,20.048,5.737997962758493,150.665,43.553641577882956,163.981,25.277650179528134,49.999,12.213442068768622,13.435,4.866153969456213
9,44.416,19.580713683324937,95.53,10.112534962281385,46.718,10.397912895989878,13.226,4.539551908672434,89.139,37.68920475620513,190.378,17.373801108708623,93.225,18.752974405385643,29.879,7.7436634304005825,88.935,37.99495218303862,189.944,17.58277617493944,66.791,13.256811911695136,20.637,6.353234970831363
10,22.217,13.647863392310724,98.359,7.573075364108724,59.504,10.676139937447616,19.752,5.750266216581764,44.429,26.485589392072164,196.124,11.867074258276615,118.263,18.431591210596945,42.759,10.065397718482426,44.22,26.145883178948214,196.309,11.67054928958876,81.067,12.056694193470898,29.874,7.916994556193834
